Entity_name,Entity_id
헌강왕,E0063198
심용준,E0033871
공민왕,E0004295
직선,E0054505
심덕부,E0033763
정헌주,E0051123
종수,E0052977
심연,E0033858
이양,E0045085
심결,E0033709
심회,E0033976
심준,E0033929
문갑송,E0019378
김맹경,E0009095
송거신,E0030625
충혜왕,E0058257
정강왕,E0049904
노기남,E0012661
정사,E0050296
대신덕,E0014558
득오,E0017099
이비가,E0044501
조비,E0051838
오진,E0038554
조신,E0052339
유유,E0041724
의안대군,E0043316
이배원,E0044348
이동인,E0044066
박종우,E0021170
정혜,E0051143
신극례,E0032707
오의상,E0038468
이화,E0046589
칠숙,E0058504
김경,E0008623
이재,E0045717
이견기,E0043528
경녕군,E0002357
유실,E0041623
권이복,E0007036
약엽례,E0035347
김승경,E0009631
윤봉,E0042343
이홍,E0046569
이선,E0044683
이양우,E0045096
연,E0036662
이흥발,E0046696
이원계,E0045340
유상,E0041500
태조왕,E0059038
기자오,E0008394
강경대,E0078983
하준권,E0060710
안숭선,E0034841
용개,E0039378
오경리,E0038083
김조,E0010471
유순도,E0041589
선왕,E0028820
왕수긍,E0039106
이익,E0045562
양공적,E0070608
장제원,E0048792
공양왕,E0004385
정공,E0049937
예종,E0038021
전금순,E0072787
장서언,E0048535
신종,E0033381
숙종,E0031837
문공왕후,E0019415
여여문,E0036420
강유,E0001327
조만식,E0051729
고종,E0003939
이맹균,E0044185
선현,E0070882
소제,E0030276
대장,E0014674
유인길,E0041758
서한욱,E0028271
김맹성,E0009098
노이형,E0012861
박석명,E0020772
박초,E0021269
안성,E0034798
장일,E0048767
설경동,E0028999
종간,E0052890
박호문,E0021369
신효,E0033591
이흡,E0046687
조상치,E0051877
이지실,E0046063
현종,E0063417
권담,E0006863
리영희,E0079001
유후성,E0042040
김치,E0010821
원진,E0040862
정몽주,E0050190
강순,E0001249
윤인,E0042528
김가기,E0008582
신우상,E0033229
노개방,E0012630
신면,E0032910
신성,E0033100
박윤덕,E0021014
법견,E0022611
정간,E0049897
청고,E0056260
윤응,E0042506
정연,E0050588
이간,E0043476
역도산,E0036592
우군칙,E0039809
조견,E0051546
박의중,E0021043
이인,E0045588
박령,E0020664
김첨,E0010778
호경,E0063660
도절,E0015835
무골,E0018933
대소,E0014524
원인손,E0040786
김해,E0010963
왕인,E0039140
이사검,E0044510
민제,E0020253
은계종,E0042802
중지,E0053937
이중지,E0046028
양상기,E0035601
노원섭,E0012849
박영,E0020930
김윤,E0010100
희강왕,E0066076
효성왕,E0065672
검군,E0002057
우량,E0039852
조서,E0051882
준량,E0053639
김효성,E0011128
유습,E0041597
김만수,E0009078
조온,E0052410
숙목부인,E0031802
김윤수,E0010111
이무,E0044265
우거,E0039782
비담,E0025107
양명,E0035510
박영충,E0020958
영충,E0037781
평강공주,E0059861
옹몽진,E0038902
한재갑,E0067434
이원우,E0045370
최기,E0057227
남수문,E0011987
정우,E0070834
묘영,E0075612
김남수,E0008862
대의,E0014660
설우,E0029067
만덕,E0017563
천경자,E0079472
이심,E0045029
총명,E0057127
변갑섭,E0075884
정회,E0051191
만호부인,E0017774
성현,E0029691
탁광무,E0058724
김훈,E0011144
송송례,E0030886
박귀희,E0020565
곤우,E0004167
점숭,E0049845
관기,E0004764
권만,E0006898
박계강,E0020533
정소산,E0074338
조빈,E0051842
박홍신,E0021379
헌종,E0063230
병연,E0023122
양위남,E0035692
김희,E0011174
송유인,E0030986
실모,E0033649
진영서,E0070841
한유동,E0071742
고천백,E0004002
유성,E0041541
소혜왕후,E0030362
김청,E0010782
유강,E0041228
이호신,E0046556
원광,E0040605
당성,E0013903
김정경,E0010376
진준,E0054929
조성,E0052280
이빈,E0044504
연성용,E0072195
위정,E0041195
안순,E0034839
김한,E0010941
오식,E0038387
김개,E0008600
천수경,E0055924
조관,E0051591
섭민,E0029149
이매,E0044180
경순,E0002609
엄경수,E0036203
종헌,E0053034
이호,E0046547
왕후,E0039185
축연,E0075597
이항,E0046424
신정,E0033355
알공,E0035127
이극,E0043799
이징석,E0046154
서성,E0027872
운고,E0040233
유현목,E0079160
유종,E0041822
성진,E0029625
허규,E0074669
김토,E0010881
습보갈문왕,E0032129
초고왕,E0056944
윤덕병,E0042272
박인,E0070538
휘암,E0065835
이기,E0043842
왕청,E0039165
현각,E0063256
정리,E0050149
자장,E0048060
한인경,E0061897
허성,E0063081
정언각,E0050566
전조생,E0049636
양수,E0035620
신의경,E0079736
윤후익,E0042713
하동선,E0060578
선조,E0028912
변상벽,E0022927
노필,E0012935
광종,E0005220
영종,E0037678
이백지,E0044356
여칭,E0036537
강헌지,E0001479
허감,E0063010
행기,E0062802
김세민,E0009512
소상진,E0030116
길나,E0008521
영경,E0037189
최,E0012922
제문,E0051273
소선규,E0030126
김정준,E0010415
성억,E0029442
신개,E0032612
염거,E0037077
홍사석,E0064121
최충,E0057700
정여립,E0050581
장형,E0048903
강무경,E0001142
순몽,E0031889
장계문,E0048267
이행,E0046453
홍상직,E0064141
김월하,E0010056
변효문,E0022978
마건,E0017276
조계생,E0051575
양근환,E0035430
송기면,E0030726
임상덕,E0047468
송남수,E0030732
김이소,E0010192
김능유,E0008885
김세충,E0009522
정후겸,E0051200
담릉,E0013779
이소,E0044794
원신궁주,E0040741
신장,E0033328
박흥남,E0021403
노자영,E0012878
혜능,E0063578
이초,E0046246
공진원,E0004519
윤이,E0042516
석거억,E0028339
최운사,E0057515
이양중,E0045099
안지,E0035034
김영보,E0009850
양준명,E0035773
김척명,E0071963
원경왕후,E0040595
가군,E0000063
인종,E0047034
이자,E0045665
조서로,E0051886
한혜,E0062063
박서생,E0020767
유당,E0041331
박규,E0020566
복구,E0023646
이저,E0045768
조현,E0052757
조청,E0052699
산상왕,E0026247
김구경,E0008755
정도,E0050086
책계왕,E0055681
심효생,E0033977
유백순,E0041445
번완,E0022528
윤행교,E0042670
양예수,E0035674
도의,E0015807
선의왕후,E0028886
송종억,E0031052
홍가신,E0063938
유만,E0041403
유거,E0041232
유경,E0041238
아자개,E0034394
전사의,E0049461
서상경,E0027837
자간,E0047849
신여량,E0033198
두경승,E0016951
이어린년,E0072601
방귀온,E0021670
증준,E0054053
충감,E0058098
성로,E0029292
장월중선,E0072840
서응순,E0028123
권신,E0006977
정안왕후,E0050531
순덕왕후,E0031879
영조,E0037669
윤인보,E0042532
정안,E0050526
기건,E0008113
이성,E0044702
위계정,E0041114
이구,E0043731
박유동,E0021003
이격,E0043527
김내범,E0008869
이등,E0044099
홍전,E0064376
조탁,E0052720
조이,E0052504
고경리,E0003296
김문,E0009136
김구,E0008753
이경,E0043535
박자안,E0021096
정곤수,E0049936
나경적,E0076528
권경,E0006825
임간,E0047351
박유,E0021001
이순,E0044887
임우,E0047576
이민,E0044307
이음,E0045487
이중무,E0046018
황유중,E0065258
홍영,E0064266
서기,E0027655
신명규,E0032914
곽간,E0004645
신호,E0033572
안유발,E0034928
안우,E0034916
김재계,E0078567
남간,E0011744
김정,E0010372
풍국,E0060346
허주,E0063149
최만리,E0057279
성왕,E0029457
원순,E0040730
이상항,E0044626
성재한,E0029528
장용수,E0048704
백관수,E0021990
안의,E0034943
유한,E0041956
어변갑,E0035974
설순,E0029042
김효정,E0011135
백순,E0022184
조극관,E0051628
권시,E0006975
조양규,E0074264
최흥효,E0057802
김돈,E0008977
민인균,E0020236
발기,E0021590
정종하,E0050894
강숙경,E0001247
유수,E0041575
김여생,E0009800
조안국,E0052350
유홍,E0042014
서방,E0070325
척순,E0055736
환경,E0064950
여방오,E0036346
이회,E0046628
장기려,E0048330
변이중,E0022952
구성량,E0005857
전구서,E0049258
김포질,E0010900
조완구,E0052411
장하,E0048872
정습명,E0050486
조봉암,E0051827
이신,E0045014
정만석,E0050169
김덕생,E0008941
충숙왕,E0058159
서익,E0028127
도림,E0015615
박순,E0020849
송유식,E0030984
안식,E0034849
이귀,E0043762
홍길민,E0063996
김익,E0010210
순종,E0031947
임종선,E0047646
김천,E0070353
최전,E0057625
박고석,E0074267
정근,E0050011
최질,E0057674
반량풍,E0021465
식영암,E0067574
오사,E0038298
명관,E0018216
만세,E0072059
신아,E0033155
효가,E0065628
비형랑,E0025263
덕비,E0015342
흑치문대,E0065914
수령궁주,E0031319
봉상왕,E0023909
원성왕,E0040718
하정,E0060693
김타업,E0010840
권돈,E0006878
문경동,E0019395
