"통합메타데이터 ID","전문센터ID","역통 대분류","DB정보","전문센터 메타데이터","제목","대체제목","원자료의 발신자","원자료의 편찬자","원자료의 작성자","역통 중분류","역통 소분류","전문센터주제분류","자료유형","기사레벨","발행자","파일형식","목차","초록","상위자료아이디","상위자료","의존자료","사건발생일","원자료생성일","원자료발행일","발행일","생성일","갱신일","연계주소","저자정렬","날짜정렬",
"KH.AKS.C0000016","AKS","KH.11.01.000","한국사기초사전","C0000016","국어문법(國語文法)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","주시경 지음. 1910년. 국판.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000016</get>                </url>","","",
"KH.AKS.C0000017","AKS","KH.11.01.000","한국사기초사전","C0000017","권근(權近)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000017</get>                </url>","","",
"KH.AKS.C0000018","AKS","KH.11.01.000","한국사기초사전","C0000018","귀의성(鬼――聲)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","이인직 지음. 1907년. 국립중앙도서관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000018</get>                </url>","","",
"KH.AKS.C0000019","AKS","KH.11.01.000","한국사기초사전","C0000019","금수회의록(禽獸會議錄)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000019</get>                </url>","","",
"KH.AKS.C0000020","AKS","KH.11.01.000","한국사기초사전","C0000020","김만중(金萬重)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","조선 후기의 문신·소설가.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000020</get>                </url>","","",
"KH.AKS.C0000021","AKS","KH.11.01.000","한국사기초사전","C0000021","김상헌(金尙憲)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","성암고서박물관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000021</get>                </url>","","",
"KH.AKS.C0000022","AKS","KH.11.01.000","한국사기초사전","C0000022","김성일(金誠一)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","근묵에서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000022</get>                </url>","","",
"KH.AKS.C0000023","AKS","KH.11.01.000","한국사기초사전","C0000023","김시민(金時敏)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","충북 괴산군 괴산읍 능촌리.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000023</get>                </url>","","",
"KH.AKS.C0000024","AKS","KH.11.01.000","한국사기초사전","C0000024","김시습(金時習)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","충남 부여군 만수리 무량사.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000024</get>                </url>","","",
"KH.AKS.C0000025","AKS","KH.11.01.000","한국사기초사전","C0000025","김일손(金馹孫)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","《명가필보》에서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000025</get>                </url>","","",
